question_id,image_id,question,prediction,prediction_clean,answer_list
1305165,130516,What is this type of mack truck used for?," tea
Context: a dog is on a leash next to a bench
 Question: What type of dog breed is this?
 Candidates: german shepherd (0.8542064155040064),mutt (0.26620407349235253),shepard (0.19859601459430692)
 ",haul,cement|cement|cement|cement|cement|cement|cement|cement|road work|road work
2845485,284548,What type of platform should this vehicle be on?," taxi
Context: A bird standing on the beach in the watery sand.
 Question: What type of climate does this bird enjoy?
 Candidates: warm (0.89888030515014),rain (0.4040938896964099),cold (0.19365122452197522)
 ",track,track|track|track|track|track|track|railroad|railroad|rail|rail
5069455,506945,What is the term for the effect used in this photo?," seagull
Context: A lighted dessert case with various types of cakes and pies on the shelves.
 Question: Which cake would you prefer to eat?
 Candidates: cheesecake (0.9685367124849361),chocolate (0.5807605842548652),cherry (0.37624683504983436)
 ",fisheye,fisheye|fisheye|fisheye|fisheye|reflection|reflection|zoom|zoom|wide angle|wide angle
4247445,424744,What is the small white outdoor house like building called?," poodle
Context: A collaboration of pictures of food for a restaurant
 Question: What nationality is this food from?
 Candidates: thai (0.9949109197450449),japanese (0.5593569001748471),italian (0.43795086719142157)
 ",gazebo,gazebo|gazebo|gazebo|gazebo|gazebo|gazebo|shed|shed|casida|casida
5681485,568148,What can the woman do with this toy?," at airport
Context: A colorful dessert garnished with orange slices on a white plate.
 Question: What is the green item on this plate for?
 Candidates: decoration (0.9903066404329662),garnish (0.351456474753586),eye (0.03814895617707532)
 ",play,throw it|throw it|throw it|throw it|throw it|throw it|throw it|throw it|throw|throw
857725,85772,Is this boy a professional player or still in high school?," central park
Context: a neon sign sitting next to a neon sign on the wall 
 Question: What element is in side the brightly lit sign?
 Candidates: neon (0.5451432859770471),water (0.02096399614554037),ice (0.006628287362910686)
 ",beginner,high school|high school|high school|high school|high school|high school|high school|high school|school|school
1396845,139684,What is the decorative fabric on the floor called?," chevy
Context: An old building with a clock tower attached to it. 
 Question: What kind of tower is this?
 Candidates: clock tower (0.9731539995390207),clock (0.8660150096789432),castle (0.7571706639974308)
 ",carpet,rug|rug|rug|rug|rug|rug|rug|rug|carpet|carpet
4732085,473208,Is this in a home kitchen or commercial kitchen?," fire escape
Context: A beach covered with lawn chairs and umbrellas.
 Question: What do these poles all open up into when water falls?
 Candidates: umbrella (0.9978004604607329),rain (0.5447300369677351),street (0.004408788261954959)
 ",commercial,commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial
3030245,303024,Which type of helmet is used by the sport person shown in this picture?," cub
Context: A black and white picture of two elephants standing beside one another.
 Question: What color is the elephant?
 Candidates: gray (0.9961999651899743),grey (0.9137307777173443),elephant (0.010958657045067762)
 ",baseball,batter|batter|batter|batter|bat helmet|bat helmet|bat helmet|bat helmet|batter helmet|batter helmet
5342525,534252,Which brand of slipper is shown in this picture?," chopper
Context: A white toaster oven sitting on a table.
 Question: What is this used for?
 Candidates: cook (0.8932082914109436),bake (0.7862835964165764),roast (0.4203370163557235)
 ",walmart,birkenstock|birkenstock|birkenstock|birkenstock|birkenstock|birkenstock|adidas|adidas|sandal|sandal
1649245,164924,Who directed the 2012 movie shown on the television in the picture?," fireman
Context: This is a clean but empty baseball dugout.
 Question: What is the metal apparatus seen here used for?
 Candidates: drink (0.8858568803422411),water (0.8650771075285347),drink water (0.1942285940967544)
 ",tony hawk,joss whedon|joss whedon|joss whedon|joss whedon|joss whedon|joss whedon|joss wedon|joss wedon|gunn|gunn
1197855,119785,What time of day is it?," margarita
Context: A computer desk with a laptop, stereo and speakers.
 Question: Is this a desktop or laptop computer?
 Candidates: laptop (0.9998018218398005),desktop (0.042745292946552944),macbook (0.008783948452114018)
 ",lunch,noon|noon|noon|noon|afternoon|afternoon|night|night|lunch|lunch
511915,51191,Is this bathroom high or low end?," road block
Context: people riding on the backs of elephants with a sky background
 Question: What is the silver item with many steps used for in this situation?
 Candidates: ladder (0.9927122472383363),stair (0.5016011391983994),step (0.02454191020784906)
 ",high,high|high|high|high|high|high|high end|high end|high end|high end
1943135,194313,Name one famous person whom also has a black and white one of these?," fish
Context: A group of people skiing by a mountain.
 Question: Are they above or below this mountain's treeline?
 Candidates: below (0.9950284060412125),above (0.9831155476317688),both (0.008088223268021381)
 ",teddy roosevelt,taylor swift|taylor swift|taylor swift|taylor swift|russell brand|russell brand|hillary clinton|hillary clinton|ernest hemingway|ernest hemingway
3325125,332512,Which item in this room is usually to wash hands?," playstation
Context: A very happy looking guy standing by a blender.
 Question: What is this man doing?
 Candidates: blend (0.9413105810524134),measure (0.018748763431523964),eat (0.016985405347519553)
 ",sink,sink|sink|sink|sink|sink|sink|sink|sink|sink|sink
3763585,376358,What are the white objects on this animals head called?," computer
Context: a bunch of baseball players on a baseball field
 Question: This sport is called who's passtime?
 Candidates: fan (0.12327562724821102),baseball (0.02208092444203994),ball (0.013034119278038759)
 ",horns,horn|horn|horn|horn|horn|horn|horn|horn|tusk|tusk
3959785,395978,Which airline has this insignia?," steam engine
Context: A couple of women standing next to a white and brown horse.
 Question: The fastest specimen of this animal set the world record at the belmont stakes what was his name?
 Candidates: mustang (0.0601525681718256),stallion (0.02824861898668844),horse (0.014868488535199974)
 ",united,kuwait airway|kuwait airway|kuwait airway|kuwait airway|united|united|delta|delta|twa|twa
2162545,216254,When was the cola brand on the signs founded?," backpack
Context: Three friends are enjoying drinks at the bar
 Question: What type of picture is on the back wall?
 Candidates: caricature (0.27713019331044175),van gogh (0.01946410426610482),eye (0.018546876982856793)
 ",1800s,1892|1892|1892|1892|1851|1851|1870's|1870's|1800|1800
2913705,291370,What type of hat is this gentleman wearing?," karl benz
Context: Packed and new suitcases are kept in a row.
 Question: What is the maximum weight the red suitcase can carry?
 Candidates: 2 (0.47081903301607697),20 (0.03624848047828096),15 (0.030102063483755322)
 ",top hat,top|top|top|top|top hat|top hat|top hat|top hat|tophat|tophat
3304055,330405,What character does this clock look like?," anchor
Context: A boy flying a kite with a dog during the day.
 Question: What does the thing in the sky need for it to be aimed by the user?
 Candidates: string (0.9933047235583286),wind (0.7881552018082504),0 (0.09185384988042197)
 ",mickey mouse,mickey mouse|mickey mouse|mickey mouse|mickey mouse|mickey mouse|mickey mouse|mouse|mouse|wall e|wall e
505145,50514,What fruit comes from these trees?," poland
Context: A large piece of pizza is accompanied by beer.
 Question: What type of pizza is this slice?
 Candidates: supreme (0.9909531183886336),veggie (0.3297115937651358),vegetable (0.06419175185201222)
 ",palm,coconut|coconut|coconut|coconut|coconut|coconut|pineapple|pineapple|banana|banana
5666345,566634,What type of skiing is being done here?," urine
Context: A man on a surf board riding a wave. 
 Question: What is it called when a wave is shaped like that?
 Candidates: crest (0.9795562210538643),surf (0.7601498574101031),roll (0.6716922542988417)
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|snow ski|snow ski
1569995,156999,What is this animal famously known for?," citric
Context: there is a man going down the road on a horse and carriage
 Question: Mention a place in the world where this transport is in use?
 Candidates: texas (0.7168092490456807),pennsylvania (0.6640829105323071),farm (0.07024526365956534)
 ",long neck,long neck|long neck|long neck|long neck|long neck|long neck|long neck|long neck|neck|neck
4535205,453520,Are these animals mammals or insects?," finch
Context: A kitchen cart stands in the middle of a kitchen with wooden cupboards.
 Question: What is the source of light in this picture?
 Candidates: window (0.994041431410389),sun (0.8697597964891614),sunlight (0.015825281820195828)
 ",mammal,mammal|mammal|mammal|mammal|mammal|mammal|mammal|mammal|animal|animal
3282845,328284,If it gets cold enough what will happen to the area being stepped over?," under tent
Context: a kitchen that is very clean and bright
 Question: Why might we suspect that this is a model home that is not in use yet?
 Candidates: empty (0.010628631511761077),clean (0.006141965170211951),shadow (0.003605334421968217)
 ",crash,freeze|freeze|freeze|freeze|frozen|frozen|it will freeze over|it will freeze over|iced|iced
2335535,233553,How tall do these animals get?," vitamin c
Context: a red train traveling on train tracks below power lines.
 Question: What terrain is in the picture?
 Candidates: mountain (0.9783738946824722),rocky (0.02091896043796804),wood (0.015440390112963217)
 ",15 feet,20 feet|20 feet|20 feet|20 feet|8 feey|8 feey|10 feet|10 feet|12 ft|12 ft
3589765,358976,What is the breed of this cat?," ios
Context: The man has just thrown the frisbee in the air.
 Question: What is the name of this game?
 Candidates: disc golf (0.9815520129614954),frisbee golf (0.6346356066150355),frisbee (0.034457943286407874)
 ",calico,american shorthair|american shorthair|tabby|tabby|tortoise shell|tortoise shell|tabbie|tabbie|calico|calico
1050405,105040,Is this fruit or veggies?," german
Context: A lit birthday cake has some penguin candles.
 Question: What are the burning sticks called?
 Candidates: candle (0.9903477226680671),fire (0.0022068762816475364),make wish (0.0010761577133741108)
 ",both,veggies|veggies|veggies|veggies|vegetable|vegetable|veeggies|veeggies|veggie|veggie
5379826,537982,Why so many green vegetables?," 30mph
Context: A man in a dress shirt, a tie and a beanie.
 Question: What is the man wearing?
 Candidates: hat (0.9852088885654325),beanie (0.9392635769072524),cap (0.10623100666068035)
 ",to eat,healthy|healthy|healthy|healthy|make salad|make salad|lot of vegetable are green|lot of vegetable are green|salad|salad
2352215,235221,What unpleasant emotional state does this weather phenomenon often cause?," 4000 bc
Context: Various people at a ski resort socializing and skiing
 Question: What is the shape of the third building from the left?
 Candidates: rectangle (0.9855121285592765),square (0.06576599366855905),oval (0.02000250228371103)
 ",storm,depression|depression|depression|depression|shock|shock|fright|fright|fear|fear
4854245,485424,What kind of oven is on the table?," arugula
Context: three horses are resting on the muddy ground.
 Question: What caused the erosion of the ground under the animals?
 Candidates: rain (0.9309193374838829),walk (0.8492235529335883),flood (0.5297839768151322)
 ",gas,toaster|toaster|toaster|toaster|toaster|toaster|toaster oven|toaster oven|ge|ge
2864225,286422,How do people use this?," carriage
Context: A young girl on a baseball field with a glove on.
 Question: Is she right or left handed?
 Candidates: right (0.9484182898971292),left (0.9104097939920743),baseball (0.0012344685930170342)
 ",sail,sail|sail|sail|sail|sail|sail|sail|sail|to sail|to sail
5192715,519271,What small cloth is used to wipe the face or eating this meal?," budweiser
Context: A person that is in the snow by some trees.
 Question: Where is this person cross country skiing?
 Candidates: forest (0.6451589366002917),wood (0.6299877671790247),outside (0.3138909633046916)
 ",napkin,napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin
1449855,144985,What is this truck moving?," lake
Context: A glazed donut is being served on a small plate.
 Question: Would you expect this to be sweet or sour?
 Candidates: sweet (0.9997434283799919),salty (0.02217070779494381),savory (0.008671955361018982)
 ",furniture,furniture|furniture|furniture|furniture|furniture|furniture|good|good|cargo|cargo
5605665,560566,Which phase is that moon in?," broken
Context: A dog is lying in a yard next to a toy.
 Question: What type of dog is this?
 Candidates: border collie (0.7880567201493546),sheep dog (0.034800746181545245),retriever (0.02922826328171723)
 ",full,half|half|half|half|half|half|half moon|half moon|half moon|half moon
3430685,343068,What kind of animal is clearly displayed on the cover of this bed?," out
Context: A MAN SHOWING HE IS ON A PHONE CALL
 Question: What kind of shirt is this guy wearing?
 Candidates: button down (0.6928122963881105),flannel (0.06314104704739416),button up (0.029094824660409645)
 ",deer,deer|deer|deer|deer|deer|deer|elk|elk|moose|moose
1527025,152702,What is a type of horseback sport?," rural
Context: A clock tower is circular and made of bricks.
 Question: What type of ceiling does this structure have?
 Candidates: dome (0.9312290348903093),stone (0.8381701613202711),metal (0.03850975152222112)
 ",horse race,polo|polo|polo|polo|race|race|race|race|ride|ride
1603935,160393,What item might be used to warm this item of furniture?," canoes
Context: a white park bench that is sitting out in the woods
 Question: What does the temperature look like it would be in this photo?
 Candidates: warm (0.7076003300619575),75 (0.7064423526426555),80 (0.2534266758555454)
 ",heater,electric blanket|electric blanket|electric blanket|electric blanket|blanker|blanker|cloth dryer|cloth dryer|blanket|blanket
2597615,259761,What fills the balloons?," canal
Context: A woman standing with a snowboard in the snow.
 Question: Which part of the body should this equipment be worn on?
 Candidates: feet (0.9161196174780638),leg (0.1002914680392305),foot (0.03451705623679193)
 ",air,helium|helium|helium|helium|helium|helium|helium|helium|helium|helium
3883985,388398,Would this article of furniture typically be for public or private use?," carbon
Context: There is a box of various doughnuts with weird toppings
 Question: What type of dessert are these?
 Candidates: donuts (0.9842974410412659),doughnut (0.77957701834101),donut (0.4182160743025397)
 ",public,public|public|public|public|public|public|public|public|public|public
4071465,407146,How many passengers can this plane accomodate?," take off
Context: A youngster skiing down a snow covered hill.
 Question: Who won the gold medal in women's slalom skiing at the 2018 winter olympics?
 Candidates: bode miller (0.03868877275624692),shaun white (0.030687841677077644),tiffany (0.022911200949553068)
 ",20,15|15|15|15|10|10|18|18|8|8
5525735,552573,What knocked the guy off his chair?," pirate
Context: The contents of a bag organized neatly onto a table. 
 Question: What brand of backpack is being used?
 Candidates: columbia (0.7986614752366042),jansport (0.7379763099006391),levis (0.05106468804511828)
 ",wave,wave|wave|wave|wave|wave|wave|water|water|water|water
