answer,image_path,question,source_image_id,sample_dataset,sample_question_id
green,CLEVR_train_013737.png,What is the color of the tiny sphere that is made of the same material as the tiny yellow thing?,clevr-013737,clevr,
no,CLEVR_train_034663.png,Is the color of the small ball the same as the sphere to the left of the blue rubber block?,clevr-034663,clevr,
yes,CLEVR_train_026773.png,Is the color of the object behind the small shiny block the same as the block?,clevr-026773,clevr,
no,CLEVR_train_043205.png,Is the purple block made of the same material as the big green object?,clevr-043205,clevr,
no,CLEVR_train_037992.png,There is a metal cylinder that is in front of the cyan metal cylinder; are there any big metallic cylinders that are to the right of it?,clevr-037992,clevr,
0,CLEVR_train_063888.png,What number of large blue things have the same shape as the small yellow object?,clevr-063888,clevr,
small,CLEVR_train_023802.png,There is a purple object that is the same shape as the yellow thing; what size is it?,clevr-023802,clevr,
large,CLEVR_train_047798.png,What size is the thing that is both right of the big green cube and to the left of the shiny block?,clevr-047798,clevr,
yes,CLEVR_train_030332.png,Are there any big rubber things behind the purple shiny object?,clevr-030332,clevr,
1,CLEVR_train_016817.png,What number of tiny red metal objects are the same shape as the big red object?,clevr-016817,clevr,
blue,CLEVR_train_050738.png,What is the color of the big object that is right of the large matte cylinder and behind the green matte thing?,clevr-050738,clevr,
yes,CLEVR_train_000642.png,Are any green blocks visible?,clevr-000642,clevr,
rubber,CLEVR_train_035401.png,There is a small green object that is the same shape as the big cyan metal thing; what is its material?,clevr-035401,clevr,
0,CLEVR_train_003242.png,How many big gray metal balls are behind the large sphere that is behind the matte cylinder that is right of the small purple matte cylinder?,clevr-003242,clevr,
rubber,CLEVR_train_022250.png,What material is the cyan block that is the same size as the gray shiny cube?,clevr-022250,clevr,
sphere,CLEVR_train_023266.png,What is the shape of the rubber thing behind the small matte object that is to the right of the large metallic thing?,clevr-023266,clevr,
small,CLEVR_train_038356.png,The other thing that is the same shape as the small purple rubber object is what size?,clevr-038356,clevr,
no,CLEVR_train_022968.png,Is the cyan thing that is in front of the yellow cylinder made of the same material as the tiny cylinder?,clevr-022968,clevr,
large,CLEVR_train_013148.png,The red matte object that is the same shape as the large metal thing is what size?,clevr-013148,clevr,
yellow,CLEVR_train_036404.png,There is a block that is the same size as the rubber cylinder; what color is it?,clevr-036404,clevr,
sphere,CLEVR_train_023722.png,There is a metallic object that is right of the red cylinder and on the left side of the small cyan thing; what shape is it?,clevr-023722,clevr,
no,CLEVR_train_028207.png,Are there any yellow rubber cylinders?,clevr-028207,clevr,
1,CLEVR_train_008467.png,How many rubber things are small green blocks or large cyan balls?,clevr-008467,clevr,
1,CLEVR_train_035391.png,What number of objects are the same size as the cyan block?,clevr-035391,clevr,
brown,CLEVR_train_052849.png,The block that is made of the same material as the green object is what color?,clevr-052849,clevr,
yes,CLEVR_train_011230.png,Is the number of big blue metal things less than the number of tiny cylinders?,clevr-011230,clevr,
cube,CLEVR_train_016610.png,What shape is the tiny cyan object?,clevr-016610,clevr,
small,CLEVR_train_033367.png,The cyan block that is the same material as the tiny green ball is what size?,clevr-033367,clevr,
no,CLEVR_train_015348.png,Do the block to the right of the brown shiny cylinder and the big thing left of the brown cylinder have the same material?,clevr-015348,clevr,
7,CLEVR_train_012313.png,What number of objects are big gray cylinders or tiny objects that are behind the yellow metallic ball?,clevr-012313,clevr,
yes,CLEVR_train_018317.png,Is there a cube that is behind the rubber object that is in front of the metallic object that is on the left side of the large cyan cylinder?,clevr-018317,clevr,
cylinder,CLEVR_train_044691.png,What shape is the green metal object that is right of the red object that is behind the tiny green metal cylinder?,clevr-044691,clevr,
1,CLEVR_train_040040.png,How many large purple matte things are there?,clevr-040040,clevr,
metal,CLEVR_train_045499.png,There is a tiny cylinder to the left of the blue thing on the right side of the tiny sphere that is behind the tiny blue ball; what is it made of?,clevr-045499,clevr,
0,CLEVR_train_016869.png,How many large cubes have the same color as the small thing?,clevr-016869,clevr,
yes,CLEVR_train_061513.png,There is a rubber object to the left of the tiny blue rubber sphere; is it the same size as the blue sphere that is on the left side of the small matte cylinder?,clevr-061513,clevr,
metal,CLEVR_train_044762.png,What is the material of the tiny yellow object that is the same shape as the purple rubber object?,clevr-044762,clevr,
metal,CLEVR_train_064136.png,There is a object that is both in front of the tiny blue rubber object and on the right side of the big brown ball; what is it made of?,clevr-064136,clevr,
large,CLEVR_train_034512.png,What size is the sphere left of the gray sphere that is in front of the small cube?,clevr-034512,clevr,
no,CLEVR_train_022047.png,Do the red cylinder right of the purple shiny object and the brown shiny cylinder that is in front of the purple metal thing have the same size?,clevr-022047,clevr,
4,CLEVR_train_020077.png,What number of objects are either balls or small things?,clevr-020077,clevr,
cylinder,CLEVR_train_000582.png,What is the shape of the tiny object in front of the yellow metal block?,clevr-000582,clevr,
1,CLEVR_train_018833.png,What number of other objects are the same color as the small rubber thing?,clevr-018833,clevr,
brown,CLEVR_train_034851.png,The rubber thing in front of the large cube that is to the right of the rubber block that is in front of the red rubber thing is what color?,clevr-034851,clevr,
yes,CLEVR_train_001112.png,There is a large thing that is right of the small blue thing that is left of the small green ball; is there a brown cylinder in front of it?,clevr-001112,clevr,
sphere,CLEVR_train_008014.png,There is a tiny matte thing that is the same color as the large cylinder; what is its shape?,clevr-008014,clevr,
no,CLEVR_train_041863.png,Is there a large brown metal ball?,clevr-041863,clevr,
no,CLEVR_train_030242.png,Is the number of big metallic blocks that are behind the large cyan rubber block less than the number of big green matte blocks?,clevr-030242,clevr,
no,CLEVR_train_055861.png,There is a red metallic ball; does it have the same size as the red cylinder that is left of the tiny matte ball?,clevr-055861,clevr,
yes,CLEVR_train_060926.png,Is the shape of the big green object behind the rubber cylinder the same as  the large purple rubber object?,clevr-060926,clevr,
yes,CLEVR_train_058495.png,Is there anything else that has the same color as the large metal sphere?,clevr-058495,clevr,
purple,CLEVR_train_000696.png,What is the color of the matte thing?,clevr-000696,clevr,
metal,CLEVR_train_051863.png,There is a yellow object that is the same size as the cyan cylinder; what is its material?,clevr-051863,clevr,
cube,CLEVR_train_015163.png,What is the shape of the large blue object?,clevr-015163,clevr,
sphere,CLEVR_train_032404.png,The rubber object that is behind the cyan matte object has what shape?,clevr-032404,clevr,
cube,CLEVR_train_057165.png,The big metallic thing behind the large yellow cylinder to the right of the metallic thing to the left of the big yellow shiny thing is what shape?,clevr-057165,clevr,
no,CLEVR_train_003659.png,Is the number of rubber objects that are in front of the cyan matte cylinder the same as the number of tiny cyan cylinders in front of the gray cylinder?,clevr-003659,clevr,
rubber,CLEVR_train_061664.png,What is the cylinder that is left of the big green thing made of?,clevr-061664,clevr,
no,CLEVR_train_045447.png,Are any large cyan shiny cubes visible?,clevr-045447,clevr,
no,CLEVR_train_043598.png,There is a tiny matte thing behind the purple metal cylinder; is there a large cyan cube that is right of it?,clevr-043598,clevr,
cube,CLEVR_train_064873.png,There is a thing that is both left of the red object and in front of the tiny green metallic object; what is its shape?,clevr-064873,clevr,
no,CLEVR_train_033584.png,Is the size of the ball that is right of the gray thing the same as the big green rubber thing?,clevr-033584,clevr,
1,CLEVR_train_041691.png,How many purple balls are the same size as the red cylinder?,clevr-041691,clevr,
red,CLEVR_train_017306.png,What color is the small cylinder that is left of the tiny cylinder in front of the gray object that is on the right side of the tiny yellow shiny object?,clevr-017306,clevr,
sphere,CLEVR_train_015254.png,There is a small object that is the same color as the small rubber ball; what shape is it?,clevr-015254,clevr,
1,CLEVR_train_001395.png,How many large red metal cylinders are there?,clevr-001395,clevr,
cube,CLEVR_train_005419.png,What is the shape of the yellow shiny thing that is the same size as the cyan rubber block?,clevr-005419,clevr,
0,CLEVR_train_042494.png,What number of brown objects are either tiny metal cubes or spheres?,clevr-042494,clevr,
no,CLEVR_train_031688.png,Does the big metallic ball have the same color as the tiny shiny cube?,clevr-031688,clevr,
blue,CLEVR_train_040451.png,There is a small matte thing that is both behind the small cyan rubber object and in front of the small purple thing; what is its color?,clevr-040451,clevr,
0,CLEVR_train_007687.png,How many large yellow cylinders are right of the cyan rubber sphere?,clevr-007687,clevr,
cube,CLEVR_train_013292.png,What is the shape of the shiny thing that is behind the small blue rubber object and to the right of the tiny brown thing?,clevr-013292,clevr,
yes,CLEVR_train_021576.png,Are there fewer things that are on the left side of the brown matte sphere than cubes?,clevr-021576,clevr,
no,CLEVR_train_007934.png,Are there more big things than spheres?,clevr-007934,clevr,
no,CLEVR_train_022044.png,Is there any other thing that is the same shape as the blue matte object?,clevr-022044,clevr,
1,CLEVR_train_023598.png,How many gray rubber cylinders have the same size as the gray metal object?,clevr-023598,clevr,
yes,CLEVR_train_036330.png,Is the number of small purple matte cubes that are on the right side of the purple thing less than the number of blue spheres that are on the right side of the tiny blue matte ball?,clevr-036330,clevr,
no,CLEVR_train_004631.png,Do the big cyan rubber object and the tiny rubber object in front of the tiny purple thing have the same shape?,clevr-004631,clevr,
3,CLEVR_train_039209.png,How many other things are the same shape as the large gray thing?,clevr-039209,clevr,
yellow,CLEVR_train_012860.png,The tiny thing to the left of the purple object is what color?,clevr-012860,clevr,
1,CLEVR_train_010338.png,What number of gray matte spheres are the same size as the brown shiny cylinder?,clevr-010338,clevr,
no,CLEVR_train_007940.png,Are there an equal number of large brown rubber cubes that are in front of the cyan rubber cylinder and brown rubber cubes right of the metal cylinder?,clevr-007940,clevr,
cylinder,CLEVR_train_012508.png,What shape is the gray metallic thing that is the same size as the cyan matte cube?,clevr-012508,clevr,
rubber,CLEVR_train_052918.png,What is the material of the red thing that is the same size as the gray thing?,clevr-052918,clevr,
no,CLEVR_train_062219.png,Are there more gray things that are behind the brown metallic object than purple objects?,clevr-062219,clevr,
small,CLEVR_train_042049.png,What size is the blue rubber object that is the same shape as the gray metal thing?,clevr-042049,clevr,
rubber,CLEVR_train_042466.png,What material is the big red object right of the large rubber ball that is to the left of the large gray rubber object that is on the right side of the large matte cylinder?,clevr-042466,clevr,
2,CLEVR_train_049786.png,How many metal things are cyan objects or tiny yellow balls?,clevr-049786,clevr,
2,CLEVR_train_050772.png,How many objects are either objects behind the large cylinder or big gray cylinders?,clevr-050772,clevr,
metal,CLEVR_train_024665.png,There is a tiny blue object that is the same shape as the large cyan object; what is it made of?,clevr-024665,clevr,
red,CLEVR_train_002559.png,There is a big cube that is the same material as the tiny brown cylinder; what color is it?,clevr-002559,clevr,
1,CLEVR_train_049185.png,What number of metallic cylinders are to the left of the tiny yellow metal cylinder?,clevr-049185,clevr,
rubber,CLEVR_train_036747.png,What is the material of the tiny thing that is both to the right of the tiny matte sphere and behind the red metal block?,clevr-036747,clevr,
gray,CLEVR_train_009653.png,What is the color of the metal cylinder that is the same size as the purple thing?,clevr-009653,clevr,
green,CLEVR_train_067799.png,There is a big cube that is made of the same material as the purple ball; what is its color?,clevr-067799,clevr,
yes,CLEVR_train_059872.png,Is there a small thing made of the same material as the big green cylinder?,clevr-059872,clevr,
small,CLEVR_train_013696.png,What is the size of the yellow object that is made of the same material as the big red object?,clevr-013696,clevr,
cube,CLEVR_train_015993.png,The purple object that is in front of the green block and on the left side of the yellow cylinder has what shape?,clevr-015993,clevr,
0,CLEVR_train_046593.png,What number of cubes are either big green metallic things or tiny blue rubber things?,clevr-046593,clevr,
no,CLEVR_train_050496.png,Is there anything else that has the same shape as the small purple shiny thing?,clevr-050496,clevr,
no,CLEVR_train_068779.png,Do the cyan ball and the large cylinder behind the big yellow matte object have the same material?,clevr-068779,clevr,
no,CLEVR_train_056524.png,Is the material of the tiny cylinder in front of the large ball the same as the ball that is on the left side of the small green rubber sphere?,clevr-056524,clevr,
1,CLEVR_train_004925.png,How many small yellow spheres have the same material as the large brown cylinder?,clevr-004925,clevr,
gray,CLEVR_train_014261.png,There is a tiny rubber cube that is both on the right side of the small brown matte cylinder and behind the small brown matte object; what is its color?,clevr-014261,clevr,
yellow,CLEVR_train_021885.png,What is the color of the shiny object in front of the large object that is behind the large yellow metal ball?,clevr-021885,clevr,
0,CLEVR_train_040176.png,What number of big brown shiny cylinders are there?,clevr-040176,clevr,
small,CLEVR_train_028839.png,What size is the ball on the right side of the big object that is behind the blue object that is in front of the blue matte cylinder?,clevr-028839,clevr,
yes,CLEVR_train_029809.png,Is the shape of the yellow rubber object behind the green cube the same as  the green object?,clevr-029809,clevr,
yes,CLEVR_train_037676.png,Is the number of green objects that are to the left of the cylinder the same as the number of big cyan matte cylinders?,clevr-037676,clevr,
blue,CLEVR_train_001522.png,The small metal object that is in front of the small metal thing that is left of the blue metallic cube is what color?,clevr-001522,clevr,
yes,CLEVR_train_011771.png,Do the sphere on the right side of the brown thing and the rubber thing right of the yellow object have the same size?,clevr-011771,clevr,
cylinder,CLEVR_train_045815.png,There is a matte thing that is the same size as the cyan cube; what is its shape?,clevr-045815,clevr,
metal,CLEVR_train_031043.png,The big sphere that is in front of the large object behind the rubber thing is made of what material?,clevr-031043,clevr,
yes,CLEVR_train_018599.png,There is a tiny object that is in front of the big yellow cylinder; is its shape the same as the large matte thing?,clevr-018599,clevr,
no,CLEVR_train_003504.png,Do the brown matte object left of the rubber cylinder and the cylinder in front of the brown matte block have the same size?,clevr-003504,clevr,
gray,CLEVR_train_065364.png,There is a large shiny object that is the same shape as the tiny purple metal thing; what color is it?,clevr-065364,clevr,
small,CLEVR_train_056372.png,What size is the other red object that is the same shape as the large matte thing?,clevr-056372,clevr,
large,CLEVR_train_026562.png,What is the size of the cylinder that is to the left of the tiny brown shiny cylinder and on the right side of the purple object?,clevr-026562,clevr,
blue,CLEVR_train_032917.png,There is a block behind the tiny shiny object that is behind the rubber object in front of the large gray cylinder; what is its color?,clevr-032917,clevr,
yes,CLEVR_train_067619.png,Do the ball on the right side of the tiny matte object and the tiny brown sphere have the same material?,clevr-067619,clevr,
sphere,CLEVR_train_052087.png,There is a object that is to the right of the tiny red metallic thing; what shape is it?,clevr-052087,clevr,
large,CLEVR_train_035129.png,There is a gray matte object that is the same shape as the large blue object; what is its size?,clevr-035129,clevr,
yes,CLEVR_train_066626.png,Is the material of the tiny cyan thing the same as the tiny red block?,clevr-066626,clevr,
sphere,CLEVR_train_067118.png,There is a small blue object; what shape is it?,clevr-067118,clevr,
no,CLEVR_train_003699.png,Does the small rubber block have the same color as the small metal thing?,clevr-003699,clevr,
metal,CLEVR_train_052474.png,There is a small ball that is the same color as the cube; what is its material?,clevr-052474,clevr,
yes,CLEVR_train_017448.png,Are there any other things that are the same shape as the big green object?,clevr-017448,clevr,
no,CLEVR_train_034789.png,Is there anything else that has the same size as the brown ball?,clevr-034789,clevr,
no,CLEVR_train_009088.png,There is a matte thing that is behind the small metallic sphere; does it have the same color as the tiny thing?,clevr-009088,clevr,
no,CLEVR_train_010485.png,Is the number of large cylinders less than the number of red metallic balls?,clevr-010485,clevr,
1,CLEVR_train_060069.png,How many other objects are there of the same color as the big shiny block?,clevr-060069,clevr,
yes,CLEVR_train_010638.png,Are there any blue matte things that are to the left of the small green object behind the small green matte ball in front of the blue matte block?,clevr-010638,clevr,
small,CLEVR_train_037316.png,There is another red thing that is the same shape as the large rubber object; what size is it?,clevr-037316,clevr,
rubber,CLEVR_train_015658.png,What is the material of the tiny yellow cube?,clevr-015658,clevr,
metal,CLEVR_train_049992.png,There is a cube that is the same size as the red rubber cylinder; what material is it?,clevr-049992,clevr,
sphere,CLEVR_train_065812.png,What shape is the yellow object behind the tiny purple thing behind the tiny brown shiny cylinder?,clevr-065812,clevr,
4,CLEVR_train_008632.png,How many things are purple objects that are in front of the red cube or things that are to the left of the big gray cube?,clevr-008632,clevr,
metal,CLEVR_train_013731.png,What is the small thing in front of the cylinder made of?,clevr-013731,clevr,
yes,CLEVR_train_005686.png,Are there the same number of purple rubber things behind the tiny brown rubber block and small purple metallic cylinders that are in front of the brown rubber sphere?,clevr-005686,clevr,
green,CLEVR_train_033219.png,What color is the big rubber object that is in front of the matte ball to the left of the tiny matte ball in front of the green matte ball?,clevr-033219,clevr,
no,CLEVR_train_056003.png,Is the number of metal cylinders left of the gray shiny cylinder the same as the number of big gray shiny objects?,clevr-056003,clevr,
purple,CLEVR_train_055954.png,What is the color of the ball behind the big red thing?,clevr-055954,clevr,
yes,CLEVR_train_046872.png,Is there any other thing that has the same size as the yellow ball?,clevr-046872,clevr,
1,CLEVR_train_056808.png,How many things are small purple matte spheres or large rubber spheres?,clevr-056808,clevr,
0,CLEVR_train_029515.png,What number of red things are tiny matte cylinders or tiny metal cubes?,clevr-029515,clevr,
cyan,CLEVR_train_000137.png,What color is the other cylinder that is the same size as the rubber cylinder?,clevr-000137,clevr,
yes,CLEVR_train_053067.png,There is a small shiny block; does it have the same color as the big cylinder right of the tiny green cube?,clevr-053067,clevr,
1,CLEVR_train_031982.png,There is a tiny ball behind the rubber sphere; how many small rubber things are to the right of it?,clevr-031982,clevr,
no,CLEVR_train_039370.png,Is the number of large things that are behind the tiny blue cube greater than the number of blue metallic cylinders?,clevr-039370,clevr,
4,CLEVR_train_062502.png,What number of other objects are the same size as the cyan matte object?,clevr-062502,clevr,
large,CLEVR_train_051695.png,There is a purple object that is on the left side of the metallic cylinder that is right of the large gray cylinder; how big is it?,clevr-051695,clevr,
cube,CLEVR_train_001413.png,There is a tiny thing that is made of the same material as the purple ball; what is its shape?,clevr-001413,clevr,
yes,CLEVR_train_023534.png,Are there any large metallic objects behind the big green metal object?,clevr-023534,clevr,
0,CLEVR_train_061166.png,What number of small blue things have the same material as the small blue block?,clevr-061166,clevr,
gray,CLEVR_train_053310.png,The small metal thing that is to the left of the large purple object that is behind the small gray object is what color?,clevr-053310,clevr,
no,CLEVR_train_029946.png,Are there more tiny gray metal blocks than things?,clevr-029946,clevr,
small,CLEVR_train_054599.png,What is the size of the red metallic thing that is the same shape as the large brown thing?,clevr-054599,clevr,
no,CLEVR_train_009411.png,Are there fewer purple rubber objects to the right of the tiny blue metallic cylinder than big metal things in front of the brown thing?,clevr-009411,clevr,
red,CLEVR_train_000421.png,The metallic thing that is behind the red rubber thing in front of the red metal thing is what color?,clevr-000421,clevr,
3,CLEVR_train_010480.png,How many objects are either big spheres or purple rubber things?,clevr-010480,clevr,
rubber,CLEVR_train_046957.png,There is a cube that is the same size as the blue object; what is its material?,clevr-046957,clevr,
no,CLEVR_train_057207.png,Are there any tiny cyan shiny things on the right side of the large yellow metallic cylinder?,clevr-057207,clevr,
small,CLEVR_train_061819.png,What is the size of the rubber thing that is in front of the small metallic object on the right side of the large brown shiny cylinder?,clevr-061819,clevr,
cylinder,CLEVR_train_044495.png,The purple thing that is the same material as the small brown object is what shape?,clevr-044495,clevr,
yes,CLEVR_train_004921.png,Are there any green things that have the same shape as the big gray matte object?,clevr-004921,clevr,
blue,CLEVR_train_010560.png,There is a cylinder on the right side of the metallic object behind the big rubber object behind the big matte cylinder; what color is it?,clevr-010560,clevr,
no,CLEVR_train_019701.png,Are there fewer small cylinders than yellow things?,clevr-019701,clevr,
no,CLEVR_train_045585.png,There is a cyan thing; is it the same size as the cube that is to the right of the big red metal thing?,clevr-045585,clevr,
metal,CLEVR_train_021808.png,There is a block on the left side of the large metallic object that is to the left of the rubber cube left of the yellow rubber thing; what is it made of?,clevr-021808,clevr,
sphere,CLEVR_train_004184.png,The blue matte thing that is the same size as the purple metal thing is what shape?,clevr-004184,clevr,
yes,CLEVR_train_068189.png,Is the number of metal blocks behind the yellow matte cube less than the number of yellow matte cubes?,clevr-068189,clevr,
no,CLEVR_train_046283.png,Are there any other things that have the same color as the small matte object?,clevr-046283,clevr,
no,CLEVR_train_011335.png,Are there any big yellow blocks on the right side of the large cyan metal cylinder?,clevr-011335,clevr,
cube,CLEVR_train_063687.png,There is a purple thing that is made of the same material as the small yellow block; what shape is it?,clevr-063687,clevr,
no,CLEVR_train_059476.png,Is there a shiny object that has the same size as the cyan matte object?,clevr-059476,clevr,
large,CLEVR_train_015709.png,The other shiny object that is the same shape as the big green shiny object is what size?,clevr-015709,clevr,
metal,CLEVR_train_022915.png,There is a tiny red thing that is the same shape as the big rubber object; what is its material?,clevr-022915,clevr,
gray,CLEVR_train_013780.png,There is a metal thing that is both to the right of the purple object and behind the small red object; what is its color?,clevr-013780,clevr,
no,CLEVR_train_010934.png,Are there the same number of gray rubber objects that are to the right of the metal cube and green metal balls?,clevr-010934,clevr,
yes,CLEVR_train_064756.png,Do the large matte sphere that is to the left of the large gray metal ball and the big metal cylinder have the same color?,clevr-064756,clevr,
yes,CLEVR_train_052910.png,Is there a rubber ball of the same color as the shiny cube?,clevr-052910,clevr,
no,CLEVR_train_039383.png,Are there fewer small gray matte things behind the small brown block than blue things that are in front of the large cyan cube?,clevr-039383,clevr,
4,CLEVR_train_003836.png,What number of rubber things are either yellow things or blocks?,clevr-003836,clevr,
0,CLEVR_train_028498.png,How many cylinders are red matte things or tiny cyan rubber things?,clevr-028498,clevr,
cyan,CLEVR_train_021846.png,There is a tiny cylinder that is made of the same material as the sphere; what color is it?,clevr-021846,clevr,
yes,CLEVR_train_047180.png,Are there any cyan objects made of the same material as the big red ball?,clevr-047180,clevr,
no,CLEVR_train_067345.png,There is a red metallic object; does it have the same size as the cyan cube to the right of the red metal thing?,clevr-067345,clevr,
0,CLEVR_train_033574.png,What number of cyan objects are either small blocks or shiny cylinders?,clevr-033574,clevr,
2,CLEVR_train_003460.png,What number of things are rubber things or small yellow metallic things?,clevr-003460,clevr,
0,CLEVR_train_046024.png,What number of other things are there of the same color as the sphere?,clevr-046024,clevr,
small,CLEVR_train_069149.png,How big is the gray rubber object?,clevr-069149,clevr,
metal,CLEVR_train_026847.png,There is a red cube that is to the left of the small cyan metallic cylinder; what material is it?,clevr-026847,clevr,
rubber,CLEVR_train_019707.png,There is a thing that is behind the large cylinder; what is it made of?,clevr-019707,clevr,
small,CLEVR_train_016728.png,There is a ball to the left of the small green matte object; what size is it?,clevr-016728,clevr,
purple,CLEVR_train_055185.png,There is a matte block left of the yellow object; what is its color?,clevr-055185,clevr,
yes,CLEVR_train_067805.png,Are there fewer small shiny balls that are behind the rubber sphere than big balls that are behind the rubber cylinder?,clevr-067805,clevr,
no,CLEVR_train_047175.png,Does the thing behind the red thing have the same material as the thing to the right of the brown thing?,clevr-047175,clevr,
no,CLEVR_train_022122.png,Does the tiny red thing have the same material as the green sphere?,clevr-022122,clevr,
yes,CLEVR_train_007762.png,Are there any cyan matte objects that have the same shape as the shiny thing?,clevr-007762,clevr,
large,CLEVR_train_044958.png,What size is the red metallic cylinder?,clevr-044958,clevr,
red,CLEVR_train_062053.png,There is a thing that is both to the left of the tiny gray object and behind the big thing; what is its color?,clevr-062053,clevr,
yes,CLEVR_train_066873.png,Is there a cube that has the same size as the gray object?,clevr-066873,clevr,
no,CLEVR_train_033791.png,Do the rubber object and the green object have the same size?,clevr-033791,clevr,
no,CLEVR_train_034138.png,Is the shape of the green matte thing right of the matte ball the same as the tiny green object in front of the purple matte block?,clevr-034138,clevr,
0,CLEVR_train_056389.png,There is a purple block; how many small purple rubber blocks are behind it?,clevr-056389,clevr,
yes,CLEVR_train_037597.png,Is the number of large metallic spheres left of the purple metallic block greater than the number of big yellow metal spheres that are to the right of the tiny brown metal cylinder?,clevr-037597,clevr,
yellow,CLEVR_train_039844.png,The small block is what color?,clevr-039844,clevr,
2,CLEVR_train_008681.png,What number of blocks are either brown rubber objects or big objects?,clevr-008681,clevr,
3,CLEVR_train_035370.png,How many things are large objects that are right of the large rubber cylinder or tiny cylinders?,clevr-035370,clevr,
yes,CLEVR_train_057264.png,There is a blue ball; are there any metal spheres to the left of it?,clevr-057264,clevr,
1,CLEVR_train_055491.png,How many rubber objects are either tiny blue cylinders or large yellow objects?,clevr-055491,clevr,
no,CLEVR_train_049065.png,Do the red matte thing and the cyan metallic cylinder behind the blue metal block have the same size?,clevr-049065,clevr,
yes,CLEVR_train_021704.png,There is a metallic sphere on the right side of the cyan matte thing; is its size the same as the big cyan metallic cylinder?,clevr-021704,clevr,
1,CLEVR_train_069637.png,What number of objects are either rubber spheres that are to the left of the metal cylinder or tiny metal cubes?,clevr-069637,clevr,
yes,CLEVR_train_049519.png,Is there anything else that has the same color as the big rubber thing?,clevr-049519,clevr,
rubber,CLEVR_train_063923.png,There is a cylinder behind the big gray ball; what is its material?,clevr-063923,clevr,
yes,CLEVR_train_010135.png,There is a tiny shiny object that is behind the large rubber cylinder; is it the same shape as the tiny gray thing?,clevr-010135,clevr,
yes,CLEVR_train_046364.png,Are the large brown object that is on the right side of the green thing and the red object made of the same material?,clevr-046364,clevr,
1,CLEVR_train_032256.png,How many small metal things are in front of the tiny cyan object and to the right of the green cylinder?,clevr-032256,clevr,
rubber,CLEVR_train_045693.png,What material is the big object that is both behind the red matte thing and on the right side of the tiny sphere?,clevr-045693,clevr,
